"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta0",5.90672803584359,0.141525539111089,5.6303773474113,5.81329033611062,5.90453373216642,6.00244811367317,6.19137963988054,1.00104430581974,3000
"beta1",0.0242829897030409,0.00379161643496332,0.0168684648322489,0.0218443647895425,0.0242496390950888,0.0267649713669459,0.0321279433673136,1.00119363129167,2900
"beta2",-0.0753328519783004,0.13972084543697,-0.358144975536589,-0.164050421479093,-0.0698271158617083,0.0146319485137015,0.194652579784185,1.00074461067932,3000
"beta3",0.0292309204174547,0.125582846441633,-0.219047455356527,-0.0498137613951938,0.027417393896479,0.104759513549331,0.286486184327256,1.00093361142198,3000
"beta4",-0.20155947951263,0.13584426171126,-0.480037272812243,-0.293492275929659,-0.196681772387509,-0.107426543461304,0.0501421855175415,1.00098744456312,3000
"beta5",0.00296698357930525,0.00370953590493689,-0.00425645459340638,0.000477008816100178,0.00289368845438701,0.00537233580088847,0.0104241081556163,1.00111762717737,3000
"beta6",-0.000959865613807162,0.00349551813497535,-0.00787022239720164,-0.00335931437972711,-0.000905054531753689,0.00133861584840826,0.00592232979391128,1.00054941652811,3000
"beta7",0.00304699123922829,0.00414817570719581,-0.00486192519590123,0.00027931716542368,0.00293310823305354,0.00587380602808559,0.0114900505936489,1.00109421291015,3000
"beta8",0.159964599215748,0.0180428207808119,0.124731605478463,0.147274816856343,0.160193781520283,0.172349620732591,0.19466906752305,1.00153938699508,1900
"beta9",-0.0223941653629436,0.00161595790615236,-0.0254175700442298,-0.0235034452293559,-0.0224047875662057,-0.0213063535157851,-0.0192387609777892,1.00168853742307,1700
"deviance",407.489657722705,12.2157814679315,388.998487273438,399.843884481778,406.61158545415,413.860783119019,430.486326123137,1.00160770613512,1800
